Country,2012,2013,2014,2015,2016,2017,2018
Romania,44.0,43.0,43.0,44.0,48.0,48.0,47.0
Russia,28.0,28.0,27.0,28.0,29.0,29.0,28.0
Rwanda,53.0,53.0,49.0,53.0,54.0,55.0,56.0
Saint Lucia,71.0,71.0,71.0,71.0,60.0,55.0,55.0
Saint Vincent and The Grenadines,,,,,60.0,,
Saint Vincent and the Grenadines,62.0,62.0,62.0,62.0,,58.0,58.0
Sao Tome and Principe,42.0,42.0,42.0,42.0,46.0,46.0,46.0
Saudi Arabia,44.0,46.0,49.0,44.0,46.0,49.0,49.0
Senegal,36.0,41.0,43.0,36.0,45.0,45.0,45.0
Serbia,39.0,42.0,41.0,39.0,42.0,41.0,39.0
Seychelles,52.0,54.0,55.0,52.0,,60.0,66.0
Sierra Leone,31.0,30.0,31.0,31.0,30.0,30.0,30.0
Singapore,87.0,86.0,84.0,87.0,84.0,84.0,85.0
Slovakia,46.0,47.0,50.0,46.0,51.0,50.0,50.0
Slovenia,61.0,57.0,58.0,61.0,61.0,61.0,60.0
Solomon Islands,,,,,42.0,39.0,44.0
Somalia,8.0,8.0,8.0,8.0,10.0,9.0,10.0
South Africa,43.0,42.0,44.0,43.0,45.0,43.0,43.0
South Sudan,,14.0,15.0,,11.0,12.0,13.0
Spain,65.0,59.0,60.0,65.0,58.0,57.0,58.0
Sri Lanka,40.0,37.0,38.0,40.0,36.0,38.0,38.0
Sudan,13.0,11.0,11.0,13.0,14.0,16.0,16.0
Suriname,37.0,36.0,36.0,37.0,45.0,41.0,43.0
Swaziland,37.0,39.0,43.0,37.0,,39.0,38.0
Sweden,88.0,89.0,87.0,88.0,88.0,84.0,85.0
Switzerland,86.0,85.0,86.0,86.0,86.0,85.0,85.0
Syria,26.0,17.0,20.0,26.0,13.0,14.0,13.0
Taiwan,61.0,61.0,61.0,61.0,61.0,63.0,63.0
Tajikistan,22.0,22.0,23.0,22.0,25.0,21.0,25.0
Tanzania,35.0,33.0,31.0,35.0,32.0,36.0,36.0
Thailand,37.0,35.0,38.0,37.0,35.0,37.0,36.0
The Democratic Republic of Congo,,,,,21.0,,
The FYR of Macedonia,,,45.0,,37.0,,
The United States of America,,,,,74.0,,
Timor-Leste,33.0,30.0,28.0,33.0,35.0,38.0,35.0
Togo,30.0,29.0,29.0,30.0,32.0,32.0,30.0
Trinidad and Tobago,39.0,38.0,38.0,39.0,35.0,41.0,41.0
Tunisia,41.0,41.0,40.0,41.0,41.0,42.0,43.0
Turkey,49.0,50.0,45.0,49.0,41.0,40.0,41.0
Turkmenistan,17.0,17.0,17.0,17.0,22.0,19.0,20.0
Uganda,29.0,26.0,26.0,29.0,25.0,26.0,26.0
Ukraine,26.0,25.0,26.0,26.0,29.0,30.0,32.0
United Arab Emirates,68.0,69.0,70.0,68.0,66.0,71.0,70.0
United Kingdom,74.0,76.0,78.0,74.0,81.0,82.0,80.0
United States,73.0,73.0,74.0,73.0,,,
United States of America,,,,,,75.0,71.0
Uruguay,72.0,73.0,73.0,72.0,71.0,70.0,70.0
Uzbekistan,17.0,17.0,18.0,17.0,21.0,22.0,23.0
Vanuatu,,,,,,43.0,46.0
Venezuela,19.0,20.0,19.0,19.0,17.0,18.0,18.0
Vietnam,31.0,31.0,31.0,31.0,33.0,35.0,33.0
Yemen,23.0,18.0,19.0,23.0,14.0,16.0,14.0
Zambia,37.0,38.0,38.0,37.0,38.0,37.0,35.0
Zimbabwe,20.0,21.0,21.0,20.0,22.0,22.0,22.0
